admin4_code,year,income_total,income_transfert,income_own,own_prop,own_pct,own_income_change,own_income_change_pct,own_prop_change,own_prop_change_pct
02554000000,2022,22957348.4,16203687,6753661.3999999985,0.29,29.0%,-0.14,-14%,-0.010000000000000009,-1%
02555000000,2021,73638407.04,31201664,42436743.04000001,0.58,58.0%,NA,NA,NA,NA
02555000000,2022,72241961.9,26998377.53,45243584.370000005,0.63,63.0%,0.07,7%,0.050000000000000044,5%
02556000000,2021,319710787.76,56143668.4,263567119.35999998,0.82,82.0%,NA,NA,NA,NA
02556000000,2022,325655385.32,45737958.7,279917426.62,0.86,86.0%,0.06,6%,0.040000000000000036,4%
02557000000,2021,75477312.24,31400107,44077205.239999995,0.58,58.0%,NA,NA,NA,NA
02557000000,2022,76311575.61,30453708.98,45857866.629999995,0.6,60.0%,0.04,4%,0.020000000000000018,2%
02558000000,2021,139990296.73,54825672.71,85164624.01999998,0.61,61.0%,NA,NA,NA,NA
02558000000,2022,206918765.43,57576751.78,149342013.65,0.72,72.0%,0.75,75%,0.10999999999999999,11%
02559000000,2021,68085471.4,36796809,31288662.400000006,0.46,46.0%,NA,NA,NA,NA
02559000000,2022,69479845.59,35777238.11,33702607.480000004,0.49,49.0%,0.08,8%,0.02999999999999997,3%
02560000000,2021,29875526.57,18160237,11715289.57,0.39,39.0%,NA,NA,NA,NA
02560000000,2022,30064373.2,18901694.3,11162678.899999999,0.37,37.0%,-0.05,-5%,-0.020000000000000018,-2%
02561000000,2021,20142558.6,12572149,7570409.6000000015,0.38,38.0%,NA,NA,NA,NA
02561000000,2022,19188129.4,12793826,6394303.3999999985,0.33,33.0%,-0.16,-16%,-0.04999999999999999,-5%
02562000000,2021,51390513.47,22911093.8,28479419.669999998,0.55,55.0%,NA,NA,NA,NA
02562000000,2022,46256894.13,18356670.78,27900223.35,0.6,60.0%,-0.02,-2%,0.04999999999999993,5%
02563000000,2021,102698675.63,47503322.45,55195353.17999999,0.54,54.0%,NA,NA,NA,NA
02563000000,2022,104341248.17999999,43330526.46,61010721.71999999,0.58,58.0%,0.11,11%,0.039999999999999925,4%
02564000000,2021,31270101.490000002,14663035,16607066.490000002,0.53,53.0%,NA,NA,NA,NA
02564000000,2022,35810361.660000004,13119901.83,22690459.830000006,0.63,63.0%,0.37,37%,0.09999999999999998,10%
02565000000,2021,26343066.38,14318223,12024843.379999999,0.46,46.0%,NA,NA,NA,NA
02565000000,2022,22130386.02,13781120,8349266.02,0.38,38.0%,-0.31,-31%,-0.08000000000000002,-8%
02566000000,2021,71637431.97,30393637,41243794.97,0.58,58.0%,NA,NA,NA,NA
02566000000,2022,66108795.31,30966252.2,35142543.11,0.53,53.0%,-0.15,-15%,-0.04999999999999993,-5%
02567000000,2021,57717570.45,26951546.84,30766023.610000003,0.53,53.0%,NA,NA,NA,NA
02567000000,2022,45271348.91,18706253,26565095.909999996,0.59,59.0%,-0.14,-14%,0.05999999999999994,6%
02568000000,2021,52127645.01,30288043,21839602.009999998,0.42,42.0%,NA,NA,NA,NA
02568000000,2022,53145323.37,31333706.24,21811617.13,0.41,41.0%,-0,0%,-0.010000000000000009,-1%
02569000000,2021,50838770.44,27141428,23697342.439999998,0.47,47.0%,NA,NA,NA,NA
02569000000,2022,50389418.59,26775094.76,23614323.830000002,0.47,47.0%,-0,0%,0,0%
02570000000,2021,56060450.72,35262717,20797733.72,0.37,37.0%,NA,NA,NA,NA
02570000000,2022,52524868.72,29150765.05,23374103.669999998,0.45,45.0%,0.12,12%,0.08000000000000002,8%
02571000000,2021,45609157.02,25365057.01,20244100.01,0.44,44.0%,NA,NA,NA,NA
02571000000,2022,42899343.83,21528067.4,21371276.43,0.5,50.0%,0.06,6%,0.06,6%
02572000000,2021,83060384.88,45874100,37186284.879999995,0.45,45.0%,NA,NA,NA,NA
02572000000,2022,88350639.35,43383020.42,44967618.92999999,0.51,51.0%,0.21,21%,0.06,6%
02573000000,2021,120471365.64,63398515.19,57072850.45,0.47,47.0%,NA,NA,NA,NA
02573000000,2022,125420060.99,58415596.2,67004464.78999999,0.53,53.0%,0.17,17%,0.06000000000000005,6%
02574000000,2021,22499096.29,11225033,11274063.29,0.5,50.0%,NA,NA,NA,NA
02574000000,2022,22319497.54,9808942,12510555.54,0.56,56.0%,0.11,11%,0.06000000000000005,6%
03501000000,2021,15073697.46,11692867,3380830.460000001,0.22,22.0%,NA,NA,NA,NA
03501000000,2022,14628169,10897487,3730682,0.26,26.0%,0.1,10%,0.04000000000000001,4%
03502000000,2021,31622655.15,19882217,11740438.149999999,0.37,37.0%,NA,NA,NA,NA
03502000000,2022,29455998.169999998,19448070,10007928.169999998,0.34,34.0%,-0.15,-15%,-0.02999999999999997,-3%
03503000000,2021,37018996.34,25268714,11750282.340000004,0.32,32.0%,NA,NA,NA,NA
03503000000,2022,38239404.43,23932351.69,14307052.739999998,0.37,37.0%,0.22,22%,0.04999999999999999,5%
03505000000,2021,28487209.73,13933380.13,14553829.6,0.51,51.0%,NA,NA,NA,NA
03505000000,2022,25802504.75,12864225.43,12938279.32,0.5,50.0%,-0.11,-11%,-0.010000000000000009,-1%
03506000000,2021,21212829.12,12582244.2,8630584.920000002,0.41,41.0%,NA,NA,NA,NA
03506000000,2022,20795706.99,13036067,7759639.989999998,0.37,37.0%,-0.1,-10%,-0.03999999999999998,-4%
03507000000,2021,70471964.92,41523599.02,28948365.9,0.41,41.0%,NA,NA,NA,NA
03507000000,2022,83933479.84,36802535.44,47130944.400000006,0.56,56.0%,0.63,63%,0.15000000000000008,15%
03508000000,2021,31007904.45,23688148,7319756.449999999,0.24,24.0%,NA,NA,NA,NA
03508000000,2022,34219149.9,24454832,9764317.899999999,0.29,29.0%,0.33,33%,0.04999999999999999,5%
03509000000,2021,29528785.73,19192623,10336162.73,0.35,35.0%,NA,NA,NA,NA
03509000000,2022,30618664,20606817,10011847,0.33,33.0%,-0.03,-3%,-0.019999999999999962,-2%
03511000000,2021,11152955.24,6276823,4876132.24,0.44,44.0%,NA,NA,NA,NA
03511000000,2022,13041222.27,6135974,6905248.27,0.53,53.0%,0.42,42%,0.09000000000000002,9%
03512000000,2021,34844386.91,25006879,9837507.909999996,0.28,28.0%,NA,NA,NA,NA
03512000000,2022,33112041.73,23377469,9734572.73,0.29,29.0%,-0.01,-1%,0.009999999999999953,1%
03513000000,2021,16278706.9,11717988,4560718.9,0.28,28.0%,NA,NA,NA,NA
03513000000,2022,18287558.31,12185513,6102045.309999999,0.33,33.0%,0.34,34%,0.04999999999999999,5%
03514000000,2021,20088960.02,10401348,9687612.02,0.48,48.0%,NA,NA,NA,NA
03514000000,2022,23427165.95,10047750.68,13379415.27,0.57,57.0%,0.38,38%,0.08999999999999997,9%
03515000000,2021,38030094.65,25932694.11,12097400.54,0.32,32.0%,NA,NA,NA,NA
03515000000,2022,40925832.25,27816898.16,13108934.09,0.32,32.0%,0.08,8%,0,0%
03516000000,2021,38660979.5,25754093,12906886.5,0.33,33.0%,NA,NA,NA,NA
03516000000,2022,37139369.28,26038619,11100750.280000001,0.3,30.0%,-0.14,-14%,-0.030000000000000027,-3%
03518000000,2021,48878508.56,22960104,25918404.560000002,0.53,53.0%,NA,NA,NA,NA
03518000000,2022,42369876.98,19155452,23214424.979999997,0.55,55.0%,-0.1,-10%,0.020000000000000018,2%
03519000000,2021,42192893,34644302,7548591,0.18,18.0%,NA,NA,NA,NA
03519000000,2022,40747965.56,31807817,8940148.560000002,0.22,22.0%,0.18,18%,0.04000000000000001,4%
03520000000,2021,21696494.52,17539418,4157076.5199999996,0.19,19.0%,NA,NA,NA,NA
03520000000,2022,31000170.68,17546539,13453631.68,0.43,43.0%,2.24,224%,0.24,24%
03522000000,2021,32728563.14,20201267,12527296.14,0.38,38.0%,NA,NA,NA,NA
03522000000,2022,35069329.37,18859178,16210151.369999997,0.46,46.0%,0.29,29%,0.08000000000000002,8%
