date,rada_code,hromada_code
2017-08-20,7425182500,UA74080150000033167
2017-08-20,7425183000,UA74080150000033167
2017-08-20,7425184000,UA74080150000033167
2017-08-20,7425185000,UA74080150000033167
2017-08-20,7425186000,UA74080150000033167
2017-08-20,7425187000,UA74080150000033167
2017-08-20,7425188000,UA74080150000033167
2017-08-20,7425189000,UA74080150000033167
2020-08-16,7425155100,UA74080150000033167
2020-08-16,7425155400,UA74080150000033167
2020-08-16,7425181000,UA74080150000033167
2020-08-16,7425182000,UA74080150000033167
2020-08-16,7425182300,UA74080150000033167
2020-08-16,7425182500,UA74080150000033167
2020-08-16,7425183000,UA74080150000033167
2020-08-16,7425184000,UA74080150000033167
2020-08-16,7425185000,UA74080150000033167
2020-08-16,7425186000,UA74080150000033167
2020-08-16,7425187000,UA74080150000033167
2020-08-16,7425188000,UA74080150000033167
2020-08-16,7425189000,UA74080150000033167
2020-08-16,7410700000,UA74080130000060606
2015-08-16,7421755700,UA74080110000023749
2015-08-16,7421782400,UA74080110000023749
2015-08-16,7421785200,UA74080110000023749
2015-08-16,7421786400,UA74080110000023749
2015-08-16,7421789200,UA74080110000023749
2020-08-16,7421755700,UA74080110000023749
2020-08-16,7421781200,UA74080110000023749
2020-08-16,7421782400,UA74080110000023749
2020-08-16,7421785200,UA74080110000023749
2020-08-16,7421786400,UA74080110000023749
2020-08-16,7421788500,UA74080110000023749
2020-08-16,7421789200,UA74080110000023749
2017-08-20,7424155900,UA74080090000092409
2017-08-20,7424181900,UA74080090000092409
2017-08-20,7424182800,UA74080090000092409
2017-08-20,7424186100,UA74080090000092409
2017-08-20,7424186600,UA74080090000092409
2017-08-20,7424189100,UA74080090000092409
2020-08-16,7424155900,UA74080090000092409
2020-08-16,7424181900,UA74080090000092409
2020-08-16,7424182800,UA74080090000092409
2020-08-16,7424186100,UA74080090000092409
2020-08-16,7424186600,UA74080090000092409
2020-08-16,7424189100,UA74080090000092409
2017-10-15,7424155600,UA74080070000022285
2017-10-15,7424181200,UA74080070000022285
2017-10-15,7424182100,UA74080070000022285
2017-10-15,7424185800,UA74080070000022285
2020-08-16,7424155600,UA74080070000022285
2020-08-16,7424180900,UA74080070000022285
2020-08-16,7424181200,UA74080070000022285
2020-08-16,7424182100,UA74080070000022285
2020-08-16,7424185800,UA74080070000022285
2020-08-16,7424189400,UA74080070000022285
2020-08-16,7424155400,UA74080050000033938
2020-08-16,7424183700,UA74080050000033938
2020-08-16,7424184300,UA74080050000033938
2017-08-20,7421710100,UA74080030000040714
2017-08-20,7421780400,UA74080030000040714
2017-08-20,7421780800,UA74080030000040714
2017-08-20,7421781000,UA74080030000040714
2017-08-20,7421781600,UA74080030000040714
2017-08-20,7421782000,UA74080030000040714
2017-08-20,7421782800,UA74080030000040714
2017-08-20,7421783200,UA74080030000040714
2017-08-20,7421783600,UA74080030000040714
2017-08-20,7421784000,UA74080030000040714
2017-08-20,7421784400,UA74080030000040714
2017-08-20,7421784800,UA74080030000040714
2017-08-20,7421785600,UA74080030000040714
2017-08-20,7421786000,UA74080030000040714
2017-08-20,7421786800,UA74080030000040714
2017-08-20,7421787200,UA74080030000040714
2017-08-20,7421787600,UA74080030000040714
2017-08-20,7421788400,UA74080030000040714
2017-08-20,7421788600,UA74080030000040714
2017-08-20,7421788800,UA74080030000040714
2017-08-20,7421789000,UA74080030000040714
2020-08-16,7421710100,UA74080030000040714
2020-08-16,7421780400,UA74080030000040714
2020-08-16,7421780800,UA74080030000040714
2020-08-16,7421781000,UA74080030000040714
2020-08-16,7421781600,UA74080030000040714
2020-08-16,7421782000,UA74080030000040714
2020-08-16,7421782800,UA74080030000040714
2020-08-16,7421783200,UA74080030000040714
2020-08-16,7421783600,UA74080030000040714
