hromada_code,hromada_center_code,hromada_type,hromada,hromada_center,oblast_name,raion_name,lat_center,lon_center,ttime,key,n_settlements,square
UA07060170000059479,UA07060170010066015,сільська,Забродівська,Заброди,Волинська,Ковельський,51.668423,24.601269,151.6,Волинська Ковельський Забродівська сільська,18,333.8
UA07060190000036342,UA07060190010068509,міська,Ковельська,Ковель,Волинська,Ковельський,51.2120538,24.708894,218.8,Волинська Ковельський Ковельська міська,15,311.1
UA07060210000030014,UA07060210010075638,сільська,Колодяжненська,Колодяжне,Волинська,Ковельський,51.181622,24.798964,211.5,Волинська Ковельський Колодяжненська сільська,19,464.4
UA07060230000029166,UA07060230010024650,селищна,Луківська,Луків,Волинська,Ковельський,51.229557,24.3449012,147,Волинська Ковельський Луківська селищна,14,161.2
UA07060250000039902,UA07060250010038196,селищна,Люблинецька,Люблинець,Волинська,Ковельський,51.18633,24.61933,73.8,Волинська Ковельський Люблинецька селищна,9,115
UA07060270000021892,UA07060270010018151,міська,Любомльська,Любомль,Волинська,Ковельський,51.2234546,24.0315783,167.3,Волинська Ковельський Любомльська міська,15,296.8
UA07060290000054842,UA07060290010071519,сільська,Поворська,Поворськ,Волинська,Ковельський,51.261631,25.129389,73.5,Волинська Ковельський Поворська сільська,11,299.3
UA07060310000037369,UA07060310010081210,селищна,Ратнівська,Ратне,Волинська,Ковельський,51.67145,24.52458,228.3,Волинська Ковельський Ратнівська селищна,24,481.2
UA07060330000052414,UA07060330010079204,сільська,Рівненська,Рівне,Волинська,Ковельський,51.233711,23.7957,216.6,Волинська Ковельський Рівненська сільська,17,333.5
UA07060350000084520,UA07060350010086789,сільська,Самарівська,Самари,Волинська,Ковельський,51.865421,24.61659,210.2,Волинська Ковельський Самарівська сільська,19,256.8
UA07060370000022360,UA07060370010089665,сільська,Сереховичівська,Сереховичі,Волинська,Ковельський,51.413324,24.6780485,253.2,Волинська Ковельський Сереховичівська сільська,11,167.6
UA07060390000098670,UA07060390010020920,сільська,Смідинська,Смідин,Волинська,Ковельський,51.2981152,24.4331306,160.1,Волинська Ковельський Смідинська сільська,10,227.2
UA07060410000041366,UA07060410010057761,селищна,Старовижівська,Стара Вижівка,Волинська,Ковельський,51.4422955,24.438565,145.3,Волинська Ковельський Старовижівська селищна,17,373.3
UA07060430000041345,UA07060430010038121,селищна,Турійська,Турійськ,Волинська,Ковельський,51.08299,24.52389,111.3,Волинська Ковельський Турійська селищна,52,869
UA07060450000051170,UA07060450010076290,селищна,Шацька,Шацьк,Волинська,Ковельський,51.4909494,23.9219323,253.1,Волинська Ковельський Шацька селищна,31,761.1
UA07080010000062933,UA07080010010043939,міська,Берестечківська,Берестечко,Волинська,Луцький,50.3585756,25.1209852,210.3,Волинська Луцький Берестечківська міська,21,223.2
UA07080030000051738,UA07080030010027168,сільська,Боратинська,Боратин,Волинська,Луцький,50.7043549,25.3553319,13.6,Волинська Луцький Боратинська сільська,24,282.7
UA07080050000014573,UA07080050010088654,сільська,Городищенська,Городище,Волинська,Луцький,50.5831266,25.0807256,64.5,Волинська Луцький Городищенська сільська,21,234.7
UA07080070000052255,UA07080070010026475,міська,Горохівська,Горохів,Волинська,Луцький,50.4986166,24.7600734,88.3,Волинська Луцький Горохівська міська,41,494.9
UA07080090000017614,UA07080090010098846,сільська,Доросинівська,Доросині,Волинська,Луцький,50.95562,24.99836,71.2,Волинська Луцький Доросинівська сільська,13,234.7
UA07080110000043895,UA07080110010029699,міська,Ківерцівська,Ківерці,Волинська,Луцький,50.8333448,25.4648622,23.8,Волинська Луцький Ківерцівська міська,24,473.9
UA07080130000017070,UA07080130010099463,селищна,Колківська,Колки,Волинська,Луцький,51.0962777,25.6676021,47.7,Волинська Луцький Колківська селищна,28,763.5
UA07080150000089103,UA07080150010098484,сільська,Копачівська,Копачівка,Волинська,Луцький,50.8798116,25.2230391,23.8,Волинська Луцький Копачівська сільська,14,178.4
UA07080170000013585,UA07080170010083384,міська,Луцька,Луцьк,Волинська,Луцький,50.7450733,25.320078,0,Волинська Луцький Луцька міська,36,383.1
UA07080190000072811,UA07080190010027494,селищна,Мар’янівська,Мар’янівка,Волинська,Луцький,50.4508395,24.7980123,91.1,Волинська Луцький Мар’янівська селищна,15,229.7
UA07080210000090779,UA07080210010079720,селищна,Олицька,Олика,Волинська,Луцький,50.725417,25.8111941,347,Волинська Луцький Олицька селищна,17,270
UA07080230000046097,UA07080230010097610,сільська,Підгайцівська,Підгайці,Волинська,Луцький,50.7100328,25.4064958,21.5,Волинська Луцький Підгайцівська сільська,20,285
UA07080250000053335,UA07080250010017534,міська,Рожищенська,Рожище,Волинська,Луцький,50.916332,25.2712543,67.2,Волинська Луцький Рожищенська міська,37,461.5
UA07080270000067148,UA07080270010097317,селищна,Торчинська,Торчин,Волинська,Луцький,50.769734,25.010768,80.6,Волинська Луцький Торчинська селищна,24,286.8
UA07080290000088287,UA07080290010047045,селищна,Цуманська,Цумань,Волинська,Луцький,50.82962,25.88413,101.7,Волинська Луцький Цуманська селищна,16,447
UA12020010000033698,UA12020010010037010,міська,Дніпровська,Дніпро,Дніпропетровська,Дніпровський,48.4680221,35.0417711,0,Дніпропетровська Дніпровський Дніпровська міська,2,406
UA12020030000073022,UA12020030010052622,сільська,Китайгородська,Китайгород,Дніпропетровська,Дніпровський,48.90081,34.447723,101,Дніпропетровська Дніпровський Китайгородська сільська,5,96.1
UA12020050000026654,UA12020050010036263,сільська,Любимівська,Любимівка,Дніпропетровська,Дніпровський,48.373829,35.172729,34.5,Дніпропетровська Дніпровський Любимівська сільська,6,148.5
UA12020070000057092,UA12020070010051981,сільська,Ляшківська,Ляшківка,Дніпропетровська,Дніпровський,48.9985575,34.3960233,119.6,Дніпропетровська Дніпровський Ляшківська сільська,9,83.2
UA12020090000044548,UA12020090010020700,сільська,Миколаївська,Миколаївка,Дніпропетровська,Дніпровський,48.3615514,34.6844602,112.6,Дніпропетровська Дніпровський Миколаївська сільська,10,370.3
UA12020110000034205,UA12020110010079539,сільська,Могилівська,Могилів,Дніпропетровська,Дніпровський,48.86272,34.48402,101.8,Дніпропетровська Дніпровський Могилівська сільська,12,243.2
UA12020130000022909,UA12020130010023313,сільська,Новоолександрівська,Новоолександрівка,Дніпропетровська,Дніпровський,48.358379,34.986992,50.4,Дніпропетровська Дніпровський Новоолександрівська сільська,12,252.6
UA12020150000050274,UA12020150010079151,селищна,Новопокровська,Новопокровка,Дніпропетровська,Дніпровський,48.067799,34.613155,68.4,Дніпропетровська Дніпровський Новопокровська селищна,33,530.2
UA12020170000068526,UA12020170010095010,селищна,Обухівська,Обухівка,Дніпропетровська,Дніпровський,48.5495226,34.8545508,37.7,Дніпропетровська Дніпровський Обухівська селищна,3,144.7
UA12020190000075117,UA12020190010023009,селищна,Петриківська,Петриківка,Дніпропетровська,Дніпровський,48.7120245,34.6240969,66.3,Дніпропетровська Дніпровський Петриківська селищна,19,841
UA12020210000032285,UA12020210010051215,міська,Підгородненська,Підгородне,Дніпропетровська,Дніпровський,48.5681471,35.1013002,44,Дніпропетровська Дніпровський Підгородненська міська,5,232.4
UA12020230000085693,UA12020230010080639,сільська,Святовасилівська,Святовасилівка,Дніпропетровська,Дніпровський,48.18399,34.565262,94.5,Дніпропетровська Дніпровський Святовасилівська сільська,23,306.7
UA12020250000010438,UA12020250010046556,селищна,Слобожанська,Слобожанське,Дніпропетровська,Дніпровський,48.5307982,35.0828484,50.7,Дніпропетровська Дніпровський Слобожанська селищна,6,257.6
UA12020270000063450,UA12020270010031228,селищна,Солонянська,Солоне,Дніпропетровська,Дніпровський,48.20423,34.87713,43.2,Дніпропетровська Дніпровський Солонянська селищна,51,899.7
UA12020290000063321,UA12020290010050775,сільська,Сурсько-Литовська,Сурсько-Литовське,Дніпропетровська,Дніпровський,48.336411,34.92416,38.4,Дніпропетровська Дніпровський Сурсько-Литовська сільська,4,121.6
UA12020310000017431,UA12020310010078504,селищна,Царичанська,Царичанка,Дніпропетровська,Дніпровський,48.9434,34.48986,108,Дніпропетровська Дніпровський Царичанська селищна,23,478.9
UA12020330000076598,UA12020330010081292,сільська,Чумаківська,Чумаки,Дніпропетровська,Дніпровський,48.649181,34.865452,47.5,Дніпропетровська Дніпровський Чумаківська сільська,11,192.9
UA12040010000018960,UA12040010010084655,селищна,Божедарівська,Божедарівка,Дніпропетровська,Кам’янський,48.3601,34.11392,144.6,Дніпропетровська Кам’янський Божедарівська селищна,42,606.5
UA12040030000066040,UA12040030010058766,міська,Верхівцівська,Верхівцеве,Дніпропетровська,Кам’янський,48.48404,34.24232,111.9,Дніпропетровська Кам’янський Верхівцівська міська,11,151.2
UA12040050000057182,UA12040050010019298,міська,Верхньодніпровська,Верхньодніпровськ,Дніпропетровська,Кам’янський,48.6541915,34.3347779,108.8,Дніпропетровська Кам’янський Верхньодніпровська міська,48,1030.5
UA12040070000083117,UA12040070010013106,селищна,Вишнівська,Вишневе,Дніпропетровська,Кам’янський,48.4379101,33.9165294,249.1,Дніпропетровська Кам’янський Вишнівська селищна,10,213.2
UA12040090000029346,UA12040090010047409,міська,Вільногірська,Вільногірськ,Дніпропетровська,Кам’янський,48.49365,34.02328,176.5,Дніпропетровська Кам’янський Вільногірська міська,11,151.9
UA12040110000091524,UA12040110010051141,міська,Жовтоводська,Жовті Води,Дніпропетровська,Кам’янський,48.3465174,33.5027797,205.3,Дніпропетровська Кам’янський Жовтоводська міська,4,79.1
UA12040130000037856,UA12040130010018818,сільська,Затишнянська,Затишне,Дніпропетровська,Кам’янський,48.207699,34.24868,129.6,Дніпропетровська Кам’янський Затишнянська сільська,23,372.1
UA12040150000015189,UA12040150010056523,міська,Кам’янська,Кам’янське,Дніпропетровська,Кам’янський,48.5167748,34.6068797,155,Дніпропетровська Кам’янський Кам’янська міська,3,136.3
UA12040170000019083,UA12040170010014478,селищна,Криничанська,Кринички,Дніпропетровська,Кам’янський,48.3747353,34.4569858,110.4,Дніпропетровська Кам’янський Криничанська селищна,46,689.5
UA12040190000056469,UA12040190010019763,селищна,Лихівська,Лихівка,Дніпропетровська,Кам’янський,48.68626,33.922,152.4,Дніпропетровська Кам’янський Лихівська селищна,26,466.5
UA12040210000039759,UA12040210010024143,міська,П’ятихатська,П’ятихатки,Дніпропетровська,Кам’янський,48.4124318,33.7016613,218,Дніпропетровська Кам’янський П’ятихатська міська,31,500.3
UA12040230000099388,UA12040230010024032,сільська,Саксаганська,Саксагань,Дніпропетровська,Кам’янський,48.345341,33.84235,209.3,Дніпропетровська Кам’янський Саксаганська сільська,19,406.3
UA12060010000090992,UA12060010010033935,міська,Апостолівська,Апостолове,Дніпропетровська,Криворізький,47.6617478,33.7180001,371.6,Дніпропетровська Криворізький Апостолівська міська,20,676.5
UA12060030000081794,UA12060030010081795,сільська,Вакулівська,Вакулове,Дніпропетровська,Криворізький,47.89455,33.941921,213.8,Дніпропетровська Криворізький Вакулівська сільська,18,285.3
UA12060050000031212,UA12060050010094800,сільська,Глеюватська,Глеюватка,Дніпропетровська,Криворізький,48.0477159,33.4276509,274.3,Дніпропетровська Криворізький Глеюватська сільська,19,343.6
UA12060070000012840,UA12060070010017226,сільська,Гречаноподівська,Гречані Поди,Дніпропетровська,Криворізький,47.785156,33.463089,300.1,Дніпропетровська Криворізький Гречаноподівська сільська,15,257
UA12060090000074553,UA12060090010097136,сільська,Грушівська,Грушівка,Дніпропетровська,Криворізький,47.588978,34.012913,223.8,Дніпропетровська Криворізький Грушівська сільська,7,268
UA12060110000015305,UA12060110010017047,сільська,Девладівська,Девладове,Дніпропетровська,Криворізький,48.103291,33.751369,231.8,Дніпропетровська Криворізький Девладівська сільська,34,408.6
UA12060130000012028,UA12060130010067974,міська,Зеленодольська,Зеленодольськ,Дніпропетровська,Криворізький,47.5668051,33.6474574,315.5,Дніпропетровська Криворізький Зеленодольська міська,4,310.4
