register_number,contract_name,register_date,main_municipality,cooperation_form,start,end,municipality_num,settlement,raion,oblast,key,settlement_name,settlement_code,hromada_code,hromada_name
368,Договір про співробітництво територіальних громад у формі реалізації спільного проекту,2019-03-20T00:00:00Z,"Куманівецька сільська рада (с. Куманівці, вул. Новоселів, 1А, Хмільницький р-н, Вінницька обл., тел. (04338) 365-22)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2019-03-11,2019-12-31,2,с. Кустівці,Хмільницький,Вінницька,Вінницька Хмільницький с. Кустівці,Кустівці,0524883501,UA05120150000069474,Уланівська
369,Договір про співробітництво територіальних громад у формі реалізації спільного проекту,2019-03-21T00:00:00Z,"Теплицька селищна рада (смт. Теплик, вул. Незалежності, 34, Теплицький р-н, Вінницька обл., тел. (097) 261-10-95, (04353) 219-60)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2019-05-01,2019-12-31,2,с. Краснопілка,Гайсинський,Вінницька,Вінницька Гайсинський с. Краснопілка,Краснопілка,0520882803,UA05040090000093950,Краснопільська
369,Договір про співробітництво територіальних громад у формі реалізації спільного проекту,2019-03-21T00:00:00Z,"Теплицька селищна рада (смт. Теплик, вул. Незалежності, 34, Теплицький р-н, Вінницька обл., тел. (097) 261-10-95, (04353) 219-60)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2019-05-01,2019-12-31,3,с. Бджільна,Теплицький,Вінницька,Вінницька Теплицький с. Бджільна,Бджільна,0523780401,UA05040230000017028,Теплицька
369,Договір про співробітництво територіальних громад у формі реалізації спільного проекту,2019-03-21T00:00:00Z,"Теплицька селищна рада (смт. Теплик, вул. Незалежності, 34, Теплицький р-н, Вінницька обл., тел. (097) 261-10-95, (04353) 219-60)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2019-05-01,2019-12-31,4,с. Велика Мочулка,Теплицький,Вінницька,Вінницька Теплицький с. Велика Мочулка,Велика Мочулка,0523781301,UA05040210000068217,Соболівська
369,Договір про співробітництво територіальних громад у формі реалізації спільного проекту,2019-03-21T00:00:00Z,"Теплицька селищна рада (смт. Теплик, вул. Незалежності, 34, Теплицький р-н, Вінницька обл., тел. (097) 261-10-95, (04353) 219-60)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2019-05-01,2019-12-31,5,с.Сокиряни,Теплицький,Вінницька,Вінницька Теплицький с. Сокиряни,Сокиряни,0523786901,UA05040230000017028,Теплицька
369,Договір про співробітництво територіальних громад у формі реалізації спільного проекту,2019-03-21T00:00:00Z,"Теплицька селищна рада (смт. Теплик, вул. Незалежності, 34, Теплицький р-н, Вінницька обл., тел. (097) 261-10-95, (04353) 219-60)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2019-05-01,2019-12-31,6,с. Пологи,Теплицький,Вінницька,Вінницька Теплицький с. Пологи,Пологи,0523786001,UA05040230000017028,Теплицька
369,Договір про співробітництво територіальних громад у формі реалізації спільного проекту,2019-03-21T00:00:00Z,"Теплицька селищна рада (смт. Теплик, вул. Незалежності, 34, Теплицький р-н, Вінницька обл., тел. (097) 261-10-95, (04353) 219-60)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2019-05-01,2019-12-31,7,с.Степанівка,Теплицький,Вінницька,Вінницька Теплицький с. Степанівка,Степанівка,0523787001,UA05040230000017028,Теплицька
369,Договір про співробітництво територіальних громад у формі реалізації спільного проекту,2019-03-21T00:00:00Z,"Теплицька селищна рада (смт. Теплик, вул. Незалежності, 34, Теплицький р-н, Вінницька обл., тел. (097) 261-10-95, (04353) 219-60)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2019-05-01,2019-12-31,8,с. Соболівка,Теплицький,Вінницька,Вінницька Теплицький с. Соболівка,Соболівка,0523786401,UA05040210000068217,Соболівська
370,Договір про співробітництво територіальних громад у формі реалізації спільного проекту,2019-03-21T00:00:00Z,"Барська міська рада (м. Бар, вул. Героїв майдану, 6, Барського р-ну, Вінницької обл., тел. (04341) 225-88)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2019-06-01,2019-12-31,1,м. Бар,Барський,Вінницька,Вінницька м. Бар,Бар,0520210100,UA05060010000053179,Барська
370,Договір про співробітництво територіальних громад у формі реалізації спільного проекту,2019-03-21T00:00:00Z,"Барська міська рада (м. Бар, вул. Героїв майдану, 6, Барського р-ну, Вінницької обл., тел. (04341) 225-88)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2019-06-01,2019-12-31,2,с. Стодульці,Жмеринський,Вінницька,Вінницька Жмеринський с. Стодульці,Стодульці,0521086003,UA05060110000027268,Северинівська
