object_name_ua,Persons,object_name_en,oblast,raion,settlement_type,settlement_name,key,hromada_name,hromada_code
смт Рокині,1463,stlmt Rokyni,Волинська,Луцький,селище міського типу,Рокині,Волинська Луцький селище міського типу Рокині,Луцька,UA07080170000013585
смт Сенкевичівка,1208,stlmt Senkevychivka,Волинська,Луцький,селище міського типу,Сенкевичівка,Волинська Луцький селище міського типу Сенкевичівка,Городищенська,UA07080050000014573
смт Торчин,4516,stlmt Torchyn,Волинська,Луцький,селище міського типу,Торчин,Волинська Луцький селище міського типу Торчин,Торчинська,UA07080270000067148
смт Цумань,6579,stlmt Tsuman,Волинська,Луцький,селище міського типу,Цумань,Волинська Луцький селище міського типу Цумань,Цуманська,UA07080290000088287
м. Дніпро,968502,city Dnipro,Дніпропетровська,Дніпровський,місто,Дніпро,Дніпропетровська Дніпровський місто Дніпро,Дніпровська,UA12020010000033698
м. Підгородне,19138,city Pidhorodne,Дніпропетровська,Дніпровський,місто,Підгородне,Дніпропетровська Дніпровський місто Підгородне,Підгородненська,UA12020210000032285
смт Авіаторське,2576,stlmt Aviatorske,Дніпропетровська,Дніпровський,селище міського типу,Авіаторське,Дніпропетровська Дніпровський селище міського типу Авіаторське,Дніпровська,UA12020010000033698
смт Курилівка,2432,stlmt Kurylivka,Дніпропетровська,Дніпровський,селище міського типу,Курилівка,Дніпропетровська Дніпровський селище міського типу Курилівка,Петриківська,UA12020190000075117
смт Миколаївка,1132,stlmt Mykolaivka,Дніпропетровська,Дніпровський,селище міського типу,Миколаївка,Дніпропетровська Дніпровський селище міського типу Миколаївка,Обухівська,UA12020170000068526
смт Новопокровка,1715,stlmt Novopokrovka,Дніпропетровська,Дніпровський,селище міського типу,Новопокровка,Дніпропетровська Дніпровський селище міського типу Новопокровка,Новопокровська,UA12020150000050274
смт Обухівка,9137,stlmt Obukhivka,Дніпропетровська,Дніпровський,селище міського типу,Обухівка,Дніпропетровська Дніпровський селище міського типу Обухівка,Обухівська,UA12020170000068526
смт Петриківка,4446,stlmt Petrykivka,Дніпропетровська,Дніпровський,селище міського типу,Петриківка,Дніпропетровська Дніпровський селище міського типу Петриківка,Петриківська,UA12020190000075117
смт Слобожанське,14661,stlmt Slobozhanske,Дніпропетровська,Дніпровський,селище міського типу,Слобожанське,Дніпропетровська Дніпровський селище міського типу Слобожанське,Слобожанська,UA12020250000010438
смт Солоне,7380,stlmt Solone,Дніпропетровська,Дніпровський,селище міського типу,Солоне,Дніпропетровська Дніпровський селище міського типу Солоне,Солонянська,UA12020270000063450
смт Царичанка,7105,stlmt Tsarychanka,Дніпропетровська,Дніпровський,селище міського типу,Царичанка,Дніпропетровська Дніпровський селище міського типу Царичанка,Царичанська,UA12020310000017431
м. Верхівцеве,9948,city Verkhivtseve,Дніпропетровська,Кам’янський,місто,Верхівцеве,Дніпропетровська Кам’янський місто Верхівцеве,Верхівцівська,UA12040030000066040
м. Верхньодніпровськ,15477,city Verkhnodniprovsk,Дніпропетровська,Кам’янський,місто,Верхньодніпровськ,Дніпропетровська Кам’янський місто Верхньодніпровськ,Верхньодніпровська,UA12040050000057182
м. Вільногірськ,22079,city Vilnohirsk,Дніпропетровська,Кам’янський,місто,Вільногірськ,Дніпропетровська Кам’янський місто Вільногірськ,Вільногірська,UA12040090000029346
м. Жовті Води,42052,city Zhovti Vody,Дніпропетровська,Кам’янський,місто,Жовті Води,Дніпропетровська Кам’янський місто Жовті Води,Жовтоводська,UA12040110000091524
м. Кам’янське,226845,city Kamianske,Дніпропетровська,Кам’янський,місто,Кам’янське,Дніпропетровська Кам’янський місто Кам’янське,Кам’янська,UA12040150000015189
м. П’ятихатки,18140,city Piatykhatky,Дніпропетровська,Кам’янський,місто,П’ятихатки,Дніпропетровська Кам’янський місто П’ятихатки,П’ятихатська,UA12040210000039759
смт Аули,3922,stlmt Auly,Дніпропетровська,Кам’янський,селище міського типу,Аули,Дніпропетровська Кам’янський селище міського типу Аули,Криничанська,UA12040170000019083
смт Божедарівка,2651,stlmt Bozhedarivka,Дніпропетровська,Кам’янський,селище міського типу,Божедарівка,Дніпропетровська Кам’янський селище міського типу Божедарівка,Божедарівська,UA12040010000018960
смт Вишневе,2255,stlmt Vyshneve,Дніпропетровська,Кам’янський,селище міського типу,Вишневе,Дніпропетровська Кам’янський селище міського типу Вишневе,Вишнівська,UA12040070000083117
смт Дніпровське,5324,stlmt Dniprovske,Дніпропетровська,Кам’янський,селище міського типу,Дніпровське,Дніпропетровська Кам’янський селище міського типу Дніпровське,Верхньодніпровська,UA12040050000057182
смт Карнаухівка,6600,stlmt Karnaukhivka,Дніпропетровська,Кам’янський,селище міського типу,Карнаухівка,Дніпропетровська Кам’янський селище міського типу Карнаухівка,Кам’янська,UA12040150000015189
смт Кринички,3970,stlmt Krynychky,Дніпропетровська,Кам’янський,селище міського типу,Кринички,Дніпропетровська Кам’янський селище міського типу Кринички,Криничанська,UA12040170000019083
смт Лихівка,1822,stlmt Lykhivka,Дніпропетровська,Кам’янський,селище міського типу,Лихівка,Дніпропетровська Кам’янський селище міського типу Лихівка,Лихівська,UA12040190000056469
смт Новомиколаївка,3830,stlmt Novomykolaivka,Дніпропетровська,Кам’янський,селище міського типу,Новомиколаївка,Дніпропетровська Кам’янський селище міського типу Новомиколаївка,Верхньодніпровська,UA12040050000057182
м. Апостолове,13069,city Apostolove,Дніпропетровська,Криворізький,місто,Апостолове,Дніпропетровська Криворізький місто Апостолове,Апостолівська,UA12060010000090992
м. Зеленодольськ,12692,city Zelenodolsk,Дніпропетровська,Криворізький,місто,Зеленодольськ,Дніпропетровська Криворізький місто Зеленодольськ,Зеленодольська,UA12060130000012028
м. Кривий Ріг,603904,city Kryvyi Rih,Дніпропетровська,Криворізький,місто,Кривий Ріг,Дніпропетровська Криворізький місто Кривий Ріг,Криворізька,UA12060170000091033
смт Радушне,3788,stlmt Radushne,Дніпропетровська,Криворізький,селище міського типу,Радушне,Дніпропетровська Криворізький селище міського типу Радушне,Новопільська,UA12060250000064393
смт Софіївка,6329,stlmt Sofiivka,Дніпропетровська,Криворізький,селище міського типу,Софіївка,Дніпропетровська Криворізький селище міського типу Софіївка,Софіївська,UA12060270000017282
смт Христофорівка,1312,stlmt Khrystoforivka,Дніпропетровська,Криворізький,селище міського типу,Христофорівка,Дніпропетровська Криворізький селище міського типу Христофорівка,Лозуватська,UA12060190000043514
смт Широке,9623,stlmt Shyroke,Дніпропетровська,Криворізький,селище міського типу,Широке,Дніпропетровська Криворізький селище міського типу Широке,Широківська,UA12060290000039013
м. Марганець,44980,city Marhanets,Дніпропетровська,Нікопольський,місто,Марганець,Дніпропетровська Нікопольський місто Марганець,Марганецька,UA12080010000029838
