Hromada_category,Region,Raion,Hromada,Hromada_code,Main_council_code,Council_codes_v1,Decision_date_v1,Council_codes_v2,Decision_date_v2,Council_codes_v3,Decision_date_v3,Council_codes_v4,Decision_date_v4,Council_codes_v5,Decision_date_v5,Council_codes_final,voluntary_amalgamation
Збільшилися,Хмельницька область,Хмельницький район,Антонінська селищна громада,UA68040010000025276,6822755200,"6822755200,6822780400,6822781100,6822781200,6822781400,6822785100,6822788800",2017-08-20,"6822755200,6822780400,6822781100,6822781200,6822781400,6822785100,6822788800,6822782500,6822784300,6822784800,6822786600,6822788400",2020-08-16,,,,,,,"6822755200,6822780400,6822781100,6822781200,6822781400,6822785100,6822788800,6822782500,6822784300,6822784800,6822786600,6822788400",1
Збільшилися,Хмельницька область,Хмельницький район,Заслучненська сільська громада,UA68040170000061140,6822783400,"6822782400,6822783400,6822787000",2019-10-13,"6822780800,6822782400,6822783400,6822787000,6822784400",2020-08-16,,,,,,,"6822780800,6822782400,6822783400,6822787000,6822784400",1
Збільшилися,Хмельницька область,Кам'янець-Подільський район,Новоушицька селищна громада,UA68020190000052031,6823355100,"6823355100,6823380700,6823381000,6823381200,6823386500,6823382000,6823382500,6823383000,6823383500,6823384000,6823384500,6823385000,6823386000,6823387000,6823387500,6823388000,6823388500,6823389000,6823389500",2015-08-16,"6823380500,6823381500,6823382700,6823355100,6823380700,6823381000,6823381200,6823386500,6823382000,6823382500,6823383000,6823383500,6823384000,6823384500,6823385000,6823386000,6823387000,6823387500,6823388000,6823388500,6823389000,6823389500",2020-08-16,,,,,,,"6823380500,6823381500,6823382700,6823355100,6823380700,6823381000,6823381200,6823386500,6823382000,6823382500,6823383000,6823383500,6823384000,6823384500,6823385000,6823386000,6823387000,6823387500,6823388000,6823388500,6823389000,6823389500",1
Збільшилися,Хмельницька область,Шепетівський район,Полонська міська громада,UA68060210000095851,6823610100,"6823610100,6823680500,6823681500,6823682000,6823682800,6823683000,6823685000,6823685500,6823686000,6823686200,6823686500",2015-08-16,"6823682200,6823683500,6823610100,6823680500,6823681500,6823682000,6823682800,6823683000,6823685000,6823685500,6823686000,6823686200,6823686500",2018-06-29,"6823680300,6823682200,6823683500,6823610100,6823680500,6823681500,6823682000,6823682800,6823683000,6823685000,6823685500,6823686000,6823686200,6823686500",2020-08-16,,,,,"6823680300,6823682200,6823683500,6823610100,6823680500,6823681500,6823682000,6823682800,6823683000,6823685000,6823685500,6823686000,6823686200,6823686500",1
Збільшилися,Хмельницька область,Хмельницький район,Розсошанська сільська громада,UA68040330000086970,6825087200,"6825080300,6825087200,6825087300",2015-08-16,"6825080300,6825087200,6825087300,6825089900",2019-04-21,"6825084200,6825080300,6825087200,6825087300,6825089900,6825880800,6825882600,6825884000,6825883600,6825886400",2020-08-16,,,,,"6825084200,6825080300,6825087200,6825087300,6825089900,6825880800,6825882600,6825884000,6825883600,6825886400",1
Збільшилися,Хмельницька область,Кам'янець-Подільський район,Чемеровецька селищна громада,UA68020290000026103,6825255100,"6825280200,6825280500,6825280400,6825283000,6825283400,6825284600,6825284400,6825284700,6825285000,6825286400,6825287000,6825287400,6825287800,6825288000,6825288200,6825255100,6825289000,6825289400,6825289900",2016-10-09,"6825281200,6825283800,6825285800,6825280200,6825280500,6825280400,6825283000,6825283400,6825284600,6825284400,6825284700,6825285000,6825286400,6825287000,6825287400,6825287800,6825288000,6825288200,6825255100,6825289000,6825289400,6825289900,6825289800",2020-08-16,,,,,,,"6825281200,6825283800,6825285800,6825280200,6825280500,6825280400,6825283000,6825283400,6825284600,6825284400,6825284700,6825285000,6825286400,6825287000,6825287400,6825287800,6825288000,6825288200,6825255100,6825289000,6825289400,6825289900,6825289800",1
Збільшилися,Хмельницька область,Хмельницький район,Солобковецька сільська громада,UA68040370000082743,6825887200,"6825882800,6825885600,6825887200,6825888000",2017-08-20,"6825882800,6825885600,6825887200,6825888000,6825888600",2020-08-16,,,,,,,"6825882800,6825885600,6825887200,6825888000,6825888600",1
Збільшилися,Черкаська область,Звенигородський район,Вільшанська селищна громада,UA71020070000078820,7120355400,"7120381500,7120355400,7120382000,7120382500,7120386000",2018-10-14,"7120381500,7120355400,7120382000,7120382500,7120386000,7120383500,7120387500",2020-08-16,,,,,,,"7120381500,7120355400,7120382000,7120382500,7120386000,7120383500,7120387500",1
Збільшилися,Черкаська область,Золотоніський район,Драбівська селищна громада,UA71040070000034468,7120655100,"7120655100,7120685700",2019-04-21,"7120680800,7120655100,7120685700,7120683600,7120683800,7120684000,7120685600,7120686500,7120681600,7120686900,7120687400,7120687900",2020-08-16,,,,,,,"7120680800,7120655100,7120685700,7120683600,7120683800,7120684000,7120685600,7120686500,7120681600,7120686900,7120687400,7120687900",1
Збільшилися,Черкаська область,Золотоніський район,Великохутірська сільська громада,UA71040010000032874,7120682600,"7120682600,7120688700,7120688800",2018-10-14,"7120680500,7120682600,7120688700,7120688800",2020-08-16,,,,,,,"7120680500,7120682600,7120688700,7120688800",1
