hromada_code,hromada_name,year,budget_planned,budget_executed,budget_executed_2015
UA68040270000072985,Меджибізька,2017,1350,1350,1088.7096774193549
UA68040310000052042,Наркевицька,2017,2156.5299999999997,2156.5299999999997,1739.1370967741934
UA68040310000052042,Наркевицька,2019,3000,3000,1863.3540372670807
UA68040310000052042,Наркевицька,2020,10599,10583.642,6337.510179640719
UA68040330000086970,Розсошанська,2015,1026.9,1022.21,1022.21
UA68040330000086970,Розсошанська,2018,1811.6,1010.707,664.9388157894737
UA68040330000086970,Розсошанська,2019,572.557,572.556,355.6248447204969
UA68040350000083350,Сатанівська,2015,2078.12,2078.12,2078.12
UA68040350000083350,Сатанівська,2017,9500,9425.842,7601.485483870968
UA68040350000083350,Сатанівська,2018,8212,8205.581,5398.408552631579
UA68040350000083350,Сатанівська,2019,14000,13984.922,8686.286956521739
UA68040350000083350,Сатанівська,2020,19500,19452.273,11648.06766467066
UA68040370000082743,Солобковецька,2019,3000,2999.817,1863.2403726708073
UA68040370000082743,Солобковецька,2021,6716.822,6623.538,3362.2020304568528
UA68040390000011141,Старокостянтинівська,2015,11942.56,10269.73,10269.73
UA68040390000011141,Старокостянтинівська,2016,7517.86,7155.527,6564.70366972477
UA68040390000011141,Старокостянтинівська,2017,25159.5,25157.923,20288.64758064516
UA68040390000011141,Старокостянтинівська,2018,52726.618,52097.92,34274.94736842105
UA68040390000011141,Старокостянтинівська,2019,18000,18000,11180.124223602485
UA68040430000052699,Старосинявська,2019,3000,3000,1863.3540372670807
UA68040430000052699,Старосинявська,2020,3000,3000,1796.4071856287426
UA68040450000097735,Теофіпольська,2015,1245.1,1207.816,1207.816
UA68040450000097735,Теофіпольська,2016,1274.58,1274.58,1169.3394495412842
UA68040450000097735,Теофіпольська,2017,2000,2000,1612.9032258064517
UA68040450000097735,Теофіпольська,2018,2000,1990.03,1309.2302631578948
UA68040450000097735,Теофіпольська,2019,5000,4965,3083.8509316770183
UA68040470000053519,Хмельницька,2015,7056,6447.254,6447.254
UA68040470000053519,Хмельницька,2016,40485.16,35752.184,32800.16880733945
UA68040470000053519,Хмельницька,2017,24557.08,24557.08,19804.09677419355
UA68040470000053519,Хмельницька,2018,64107.768,33151.159,21809.97302631579
UA68040470000053519,Хмельницька,2019,111942.186,110540.668,68658.8
UA68040470000053519,Хмельницька,2020,64812.906,64812.906,38810.12335329341
UA68040470000053519,Хмельницька,2021,164958.158,164344.08599999998,83423.39390862943
UA68040490000093353,Чорноострівська,2015,2506.8,1886.261,1886.261
UA68040490000093353,Чорноострівська,2016,2606.9,2337.64122,2144.624972477064
UA68040530000044109,Ярмолинецька,2016,2476.31,1944.279,1783.7422018348623
UA68040530000044109,Ярмолинецька,2017,3878.8,3833.648,3091.651612903226
UA68040530000044109,Ярмолинецька,2019,10093.498,10092.858,6268.855900621118
UA68060010000056690,Берездівська,2016,5713.83,5270.588,4835.401834862385
UA68060010000056690,Берездівська,2017,3124.5,3124.5,2519.7580645161293
UA68060010000056690,Берездівська,2018,8721.02,8721.02,5737.513157894737
UA68060010000056690,Берездівська,2019,13550,13538.443000000001,8408.970807453416
UA68060010000056690,Берездівська,2020,19234.492,17260.243000000002,10335.474850299403
UA68060030000077318,Білогірська,2015,3800,3117.222,3117.222
UA68060030000077318,Білогірська,2017,7676.87,7676.868,6191.022580645162
UA68060030000077318,Білогірська,2018,14506.937,5506.937,3622.9848684210524
UA68060030000077318,Білогірська,2019,8875.8,8875.8,5512.9192546583845
UA68060030000077318,Білогірська,2020,12000,12000,7185.62874251497
UA68060090000093924,Ізяславська,2015,5972.18,5683.7660000000005,5683.7660000000005
UA68060090000093924,Ізяславська,2016,14956.122,14956.122,13721.212844036696
UA68060090000093924,Ізяславська,2019,4000,4000,2484.472049689441
UA68060090000093924,Ізяславська,2020,11796.116,7862.918,4708.334131736527
UA68060150000029549,Михайлюцька,2018,12000,10000,6578.9473684210525
UA68060150000029549,Михайлюцька,2019,12378,12377.175,7687.686335403726
UA68060150000029549,Михайлюцька,2020,15120,15120,9053.892215568863
UA68060170000075276,Нетішинська,2016,5401.4,4891.682,4487.781651376146
UA68060170000075276,Нетішинська,2017,5360,5360,4322.580645161291
UA68060210000095851,Полонська,2015,11366.93,10021.9,10021.9
UA68060210000095851,Полонська,2016,5750.16,5506.442,5051.781651376146
UA68060210000095851,Полонська,2017,15000,15000,12096.774193548386
UA68060210000095851,Полонська,2018,47037.85,18537.85,12195.95394736842
UA68060210000095851,Полонська,2019,31000,30954.678,19226.508074534162
UA68060210000095851,Полонська,2020,26000,25992.484,15564.361676646708
UA68060230000028195,Понінківська,2016,630,627.65,575.8256880733944
UA68060230000028195,Понінківська,2017,896,893.699,720.725
UA68060230000028195,Понінківська,2018,6748.076,2655.876,1747.2868421052633
UA68060230000028195,Понінківська,2019,7300,7300,4534.161490683229
UA68060230000028195,Понінківська,2020,2000,2000,1197.6047904191616
UA68060250000078635,Сахновецька,2017,2000,2000,1612.9032258064517
UA68060270000042174,Славутська,2015,12279,12279,12279
UA68060270000042174,Славутська,2016,23766.108,23398.176,21466.216513761465
UA68060270000042174,Славутська,2018,8000,8000,5263.157894736842
UA68060270000042174,Славутська,2019,16000,16000,9937.888198757764
UA68060270000042174,Славутська,2021,71063.394,71063.394,36072.78883248731
UA68060290000039941,Судилківська,2017,3000,3000,2419.3548387096776
UA68060290000039941,Судилківська,2018,6054.123,4054.123,2667.1861842105263
UA68060290000039941,Судилківська,2019,9331,9265.106,5754.724223602484
UA68060310000022172,Улашанівська,2015,2137.3,1927.834,1927.834
UA68060310000022172,Улашанівська,2019,2500,2500,1552.7950310559006
UA68060310000022172,Улашанівська,2020,7801.046,5770.847,3455.5970059880237
UA68060330000029010,Шепетівська,2016,12036.844000000001,11956.236,10969.023853211009
UA68060330000029010,Шепетівська,2017,6000,5946.892,4795.88064516129
UA68060330000029010,Шепетівська,2018,14627.6,2812,1850
UA68060350000035460,Ямпільська,2016,2585.28,2567.5555,2355.5555045871556
UA71020030000059581,Ватутінська,2021,6781.74,3509.664,1781.5553299492387
UA71020110000015834,Єрківська,2016,454.684,443.3124,406.708623853211
UA71020150000082849,Катеринопільська,2017,1034.666,1031.046,831.4887096774194
UA71020150000082849,Катеринопільська,2018,1112,0,0
UA71020190000034403,Лисянська,2016,2836.717,2333.45147,2140.7811651376146
UA71020190000034403,Лисянська,2018,1475.702,1475.702,970.8565789473685
UA71020210000030936,Матусівська,2018,588.592,127.108,83.62368421052632
UA71020210000030936,Матусівська,2019,415.335,415.335,257.97204968944095
UA71020230000095267,Мокрокалигірська,2016,276.237,276.237,253.42844036697247
UA71020250000078192,Селищенська,2015,91.05,91.05,91.05
UA71020270000021083,Стеблівська,2017,1003.701,970.575,782.7217741935484
UA71020270000021083,Стеблівська,2021,3023.42,3023.42,1534.7309644670052
UA71020290000032540,Тальнівська,2017,1134.391,1116.569,900.4588709677419
UA71020290000032540,Тальнівська,2018,1127.192,1127.1309999999999,741.5335526315788
UA71020290000032540,Тальнівська,2020,13596.904,12956.938,7758.6455089820365
UA71020290000032540,Тальнівська,2021,7647.120000000001,7325.526,3718.541116751269
UA71020330000027449,Шполянська,2018,1582.414,0,0
UA71020330000027449,Шполянська,2021,4981.414,4534.998,2302.0294416243655
UA71040070000034468,Драбівська,2015,3,3,3
UA71040070000034468,Драбівська,2021,11666.544,10185.434,5170.271065989848
UA71040090000047664,Золотоніська,2015,39660.93,39640.928,39640.928
UA71040090000047664,Золотоніська,2016,18705.052,16880.061999999998,15486.295412844034
UA71040090000047664,Золотоніська,2020,11326.488,10249.76,6137.580838323353
UA71040090000047664,Золотоніська,2021,23958.698,22056.116,11195.997969543148
UA71060070000098837,Дмитрушківська,2018,602.406,401.202,263.9486842105263
UA71060090000088339,Жашківська,2015,2400,2331.64,2331.64
